Node         VRF      Network             Protocol   NextHopIP        NextHopInterface          NextHop    Metric   AD       Tag     
======================================================================================================================================
customer     default  192.168.128.1/32    local      AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
customer     default  192.168.128.0/24    connected  AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
customer     default  198.51.100.0/24     bgp        192.18.3.1       dynamic                   r3         0        20       -       
customer     default  192.168.129.1/32    local      AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
customer     default  192.168.129.0/24    connected  AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
customer     default  192.18.3.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
customer     default  192.18.3.2/32       local      AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
customer     default  192.0.2.0/24        bgp        192.18.3.1       dynamic                   r3         0        20       -       
customer     default  192.18.6.101/32     connected  AUTO/NONE(-1l)   Loopback0                 null       0        0        -       
isp1         default  192.0.2.1/32        local      AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
isp1         default  192.18.4.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
isp1         default  192.18.4.101/32     connected  AUTO/NONE(-1l)   Loopback0                 null       0        0        -       
isp1         default  192.18.4.1/32       local      AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
isp1         default  192.0.2.0/24        connected  AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
isp2         default  192.18.5.101/32     connected  AUTO/NONE(-1l)   Loopback0                 null       0        0        -       
isp2         default  198.51.100.1/32     local      AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
isp2         default  192.18.5.1/32       local      AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
isp2         default  192.18.5.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
isp2         default  198.51.100.0/24     connected  AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
r1           default  192.18.1.1/32       local      AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
r1           default  192.18.1.5/32       local      AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
r1           default  192.18.1.101/32     connected  AUTO/NONE(-1l)   Loopback0                 null       0        0        -       
r1           default  198.51.100.0/24     bgp        192.18.1.2       dynamic                   r2         0        20       -       
r1           default  192.18.4.2/32       local      AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
r1           default  192.0.2.0/24        bgp        192.18.4.1       dynamic                   isp1       0        20       -       
r1           default  192.18.4.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
r1           default  192.18.1.4/30       connected  AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
r1           default  192.18.1.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
r2           default  192.18.1.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
r2           default  192.18.2.101/32     connected  AUTO/NONE(-1l)   Loopback0                 null       0        0        -       
r2           default  192.18.1.2/32       local      AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
r2           default  192.18.2.1/32       local      AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
r2           default  198.51.100.0/24     bgp        192.18.5.1       dynamic                   isp2       0        20       -       
r2           default  192.18.5.2/32       local      AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
r2           default  192.18.2.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
r2           default  192.18.5.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
r2           default  192.0.2.0/24        bgp        192.18.1.1       dynamic                   r1         0        20       -       
r3           default  198.51.100.0/24     bgp        192.18.1.5       dynamic                   r1         0        20       -       
r3           default  192.18.1.6/32       local      AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
r3           default  192.18.1.4/30       connected  AUTO/NONE(-1l)   GigabitEthernet0/0        null       0        0        -       
r3           default  192.18.3.1/32       local      AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
r3           default  192.18.2.2/32       local      AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
r3           default  192.0.2.0/24        bgp        192.18.1.5       dynamic                   r1         0        20       -       
r3           default  192.18.2.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet1/0        null       0        0        -       
r3           default  192.18.3.0/30       connected  AUTO/NONE(-1l)   GigabitEthernet2/0        null       0        0        -       
r3           default  198.51.100.0/24     bgp        192.18.2.1       dynamic                   r2         0        20       -       
r3           default  192.18.3.101/32     connected  AUTO/NONE(-1l)   Loopback0                 null       0        0        -       
